province,population
Albacete,400007
Alicante,1945642
Almería,699329
Asturias,1068165
Badajoz,693729
Balearic Islands,1111674
Barcelona,5540925
Burgos,371248
Cantabria,591888
Castellón,601699
Cáceres,410275
Cádiz,1238492
Ceuta,84180
Ciudad Real,524962
La Coruña,1138161
Córdoba,802422
Cuenca,211899
Girona,761632
Granada,919319
Guadalajara,257723
Gipuzkoa,713818
Huelva,520668
Huesca,226329
Jaén,664916
Álava,321417
León,489752
Lleida,440915
Lugo,346005
Madrid,6495551
Melilla,83679
Málaga,1652999
Murcia,1472049
Navarre,644447
Ourense,326724
Palencia,168955
Las Palmas,1103850
Pontevedra,955050
La Rioja,322027
Salamanca,345548
Santa Cruz de Tenerife,1014829
Segovia,161702
Sevilla,1942115
Soria,93291
Tarragona,810178
Teruel,142183
Toledo,706407
Valencia,2566474
Valladolid,532284
Ávila,168825
Biscay,1156447
Zamora,188270
Zaragoza,978638
Unknown,0
